"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C630","2020-04-20 00:00:00","209.000","197.000","0.800","22.700","0.900","989.300","","0.000","-99.000","-99.000","-99.000","26.700","","21.300",""
"C0M730","2020-04-20 00:00:00","40.000","303.000","0.400","25.200","0.870","1007.300","","0.000","-99.000","-99.000","-99.000","33.400","","23.500",""
"C0U750","2020-04-20 00:00:00","398.000","135.000","6.100","21.100","1.000","967.800","","0.000","-99.000","-99.000","-99.000","25.500","","20.500",""
"C0A650","2020-04-20 00:00:00","287.000","0.000","0.000","-99.000","-99.000","981.000","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0K400","2020-04-20 00:00:00","65.000","306.000","0.900","24.600","0.990","1005.900","","0.000","-99.000","-99.000","-99.000","32.000","","23.500",""
"C0I370","2020-04-20 00:00:00","671.000","0.000","0.000","20.100","0.970","939.200","","0.000","-99.000","-99.000","-99.000","30.400","","18.700",""
"C0S750","2020-04-20 00:00:00","2280.000","278.000","1.100","11.300","0.620","775.800","","0.000","-99.000","-99.000","-99.000","19.100","","10.700",""
"C0R650","2020-04-20 00:00:00","29.000","144.000","0.700","24.800","0.990","1010.200","","0.000","-99.000","-99.000","-99.000","31.500","","23.400",""
"C0E740","2020-04-20 00:00:00","27.000","235.000","0.700","26.100","0.920","-99.000","","0.000","-99.000","-99.000","-99.000","30.000","","23.000",""
"C0AI20","2020-04-20 00:00:00","25.000","206.000","2.900","24.000","0.900","1009.800","","0.000","-99.000","-99.000","-99.000","25.500","","21.400",""
"C0E550","2020-04-20 00:00:00","84.000","57.000","0.600","23.900","0.940","1004.000","","0.000","-99.000","-99.000","-99.000","29.800","","21.200",""
"C0X060","2020-04-20 00:00:00","19.000","236.000","1.800","23.500","0.960","1011.700","","0.000","-99.000","-99.000","-99.000","33.300","","22.500",""
"C0R510","2020-04-20 00:00:00","31.000","146.000","0.800","25.500","0.890","1007.800","","0.000","-99.000","-99.000","-99.000","31.800","","24.200",""
"C0AC60","2020-04-20 00:00:00","55.000","158.000","1.800","23.600","0.940","1006.600","","0.000","-99.000","-99.000","-99.000","28.400","","21.400",""
"C0UA70","2020-04-20 00:00:00","547.000","322.000","3.600","21.500","0.990","952.500","","0.000","-99.000","-99.000","-99.000","26.800","","19.800",""
"C0G740","2020-04-20 00:00:00","24.000","71.000","1.300","23.600","0.930","1010.100","","0.000","-99.000","-99.000","-99.000","30.700","","23.600",""
"C0F9N0","2020-04-20 00:00:00","75.000","262.000","0.700","25.900","0.900","1003.700","","0.000","-99.000","-99.000","-99.000","32.700","","24.100",""
